"","Location","Cases","Deaths","Recovered"
"1","World","47,706,992","1,218,208","31,731,901"
"2","United States","9,527,328","236,721","5,636,531"
"3","India","8,267,623","123,097","7,603,121"
"4","Brazil","5,575,289","160,785","5,028,216"
"5","Russia","1,693,454","29,217","1,266,931"
"6","France","1,502,763","38,289","120,714"
"7","Spain","1,284,408","38,118","No data"
"8","Argentina","1,195,263","32,052","1,009,265"
"9","Colombia","1,099,392","31,847","993,877"
"10","United Kingdom","1,099,059","47,742","No data"
"11","Mexico","938,405","92,593","693,227"
"12","Peru","908,902","34,623","832,929"
"13","Italy","790,377","39,764","307,378"
"14","South Africa","730,548","19,585","660,185"
"15","Iran","646,164","36,579","500,400"
"16","Germany","577,131","10,883","371,432"
"17","Chile","515,042","14,340","492,149"
"18","Iraq","482,296","11,068","408,756"
"19","Belgium","447,355","11,858","No data"
"20","Poland","439,536","6,475","168,960"
"21","Indonesia","421,731","14,259","353,282"
"22","Ukraine","420,617","7,731","176,404"
"23","Bangladesh","414,164","6,004","331,697"
"24","Philippines","388,137","7,367","349,091"
"25","Turkey","384,509","10,558","330,665"
"26","Netherlands","375,890","7,576","No data"
"27","Czech Republic","362,985","3,913","185,180"
"28","Saudi Arabia","348,936","5,471","335,594"
"29","Pakistan","337,573","6,867","316,060"
"30","Israel","316,792","2,592","304,418"
"31","Romania","267,088","7,419","186,280"
"32","Canada","244,935","10,279","203,510"
"33","Morocco","229,565","3,900","189,909"
"34","Switzerland","182,203","2,202","83,400"
"35","Nepal","182,923","1,034","144,978"
"36","Ecuador","170,110","12,698","149,048"
"37","Portugal","156,940","2,694","88,946"
"38","Bolivia","141,936","8,751","112,526"
"39","Sweden","137,730","5,997","No data"
"40","United Arab Emirates","137,310","505","134,983"
"41","Panama","135,592","2,731","113,379"
"42","Qatar","133,370","232","130,414"
"43","Kuwait","128,843","794","119,742"
"44","Dominican Republic","127,848","2,252","105,982"
"45","Austria","125,099","1,227","77,036"
"46","Oman","116,847","1,275","106,903"
"47","Kazakhstan","113,309","1,857","106,716"
"48","Costa Rica","112,120","1,419","68,604"
"49","Guatemala","108,483","3,748","98,658"
"50","Egypt","108,122","6,305","99,765"
"51","Japan","102,900","1,786","94,295"
"52","Belarus","102,313","995","88,701"
"53","Honduras","98,688","2,706","41,848"
"54","Ethiopia","97,881","1,503","56,156"
"55","Armenia","97,150","1,448","58,811"
"56","Venezuela","93,100","810","87,941"
"57","Jordan","91,234","1,029","No data"
"58","Hungary","90,988","2,063","21,232"
"59","China","86,087","4,634","81,061"
"60","Lebanon","85,209","667","43,885"
"61","Bahrain","82,363","324","79,680"
"62","Moldova","78,507","1,851","58,292"
"63","Uzbekistan","67,779","577","65,001"
"64","Paraguay","64,628","1,441","44,523"
"65","Tunisia","64,363","1,512","No data"
"66","Libya","63,688","893","36,995"
"67","Slovakia","63,556","235","14,257"
"68","Nigeria","63,173","1,151","59,634"
"69","Ireland","63,483","1,930","24,000"
"70","Kyrgyzstan","60,774","1,163","51,815"
"71","Bulgaria","60,537","1,412","21,544"
"72","Azerbaijan","59,509","780","45,697"
"73","Algeria","58,979","1,980","40,577"
"74","Kenya","58,587","1,051","38,381"
"75","Singapore","58,029","28","57,937"
"76","Myanmar","56,940","1,330","40,778"
"77","Croatia","56,567","654","41,070"
"78","Bosnia and Herzegovina","55,598","1,358","29,389"
"79","Palestine","55,408","501","47,744"
"80","Serbiaa","53,495","850","No data"
"81","Denmarkb","50,530","729","38,892"
"82","Ghana","48,200","320","47,260"
"83","Greece","46,892","673","No data"
"84","Georgiac","44,522","362","28,633"
"85","Afghanistan","41,814","1,548","34,362"
"86","Slovenia","37,382","412","No data"
"87","Puerto Rico","35,750","842","No data"
"88","Malaysia","35,425","271","24,815"
"89","North Macedonia","35,097","1,071","22,024"
"90","El Salvador","34,015","987","29,788"
"91","Australiad","27,608","907","25,356"
"92","South Korea","26,925","474","24,616"
"93","Albania","22,300","536","11,578"
"94","Norwaye","22,282","282","11,863"
"95","Cameroon","21,793","426","20,117"
"96","Ivory Coast","20,753","126","20,410"
"97","Kosovo","20,655","697","15,641"
